ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
127,Please check the checkout.,Retail,Intermediate,"['customer', 'product', 'checkout']",Imperative Sentences,Moderate,Speaking,Check the checkout.,What should you do with the checkout?,Check the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
128,the supervisor said to clean the temperature.,Healthcare,Advanced,"['nurse', 'temperature', 'stored']",Reported Speech,Difficult,Reading,Clean the temperature.,What did the supervisor say?,Clean the temperature.,"['Use a different temperature.', 'Do nothing with the temperature.']"
129,engine must be store.,Automotive,Beginner,"['brakes', 'engine', 'inspection']",Passive Voice,Easy,Reading,Store the engine.,What must be done with the engine?,Store the engine.,"['Do nothing with the engine.', 'Use a different engine.']"
130,sales must be clean.,Retail,Advanced,"['customer', 'checkout', 'sales']",Passive Voice,Difficult,Writing,Clean the sales.,What must be done with the sales?,Clean the sales.,"['Do nothing with the sales.', 'Use a different sales.']"
131,Please inspect the product.,Retail,Advanced,"['checkout', 'product', 'inventory']",Imperative Sentences,Difficult,Writing,Inspect the product.,What should you do with the product?,Inspect the product.,"['Do nothing with the product.', 'Use a different product.']"
132,"If it is damaged, secure the irrigation.",Agriculture,Advanced,"['soil', 'irrigation', 'yield']",Conditional Sentences,Difficult,Writing,Secure the irrigation.,What happens if the it is damaged?,Secure the irrigation.,"['Do nothing with the irrigation.', 'Ignore the irrigation.']"
133,"If it is damaged, store the harvest.",Agriculture,Intermediate,"['soil', 'harvest', 'yield']",Conditional Sentences,Moderate,Writing,Store the harvest.,What happens if the it is damaged?,Store the harvest.,"['Ignore the harvest.', 'Use a different harvest.']"
134,"If it is damaged, clean the shift.",Hospitality,Intermediate,"['service', 'shift', 'hygiene']",Conditional Sentences,Moderate,Speaking,Clean the shift.,What happens if the it is damaged?,Clean the shift.,"['Use a different shift.', 'Ignore the shift.']"
135,"If it is damaged, store the oil.",Automotive,Beginner,"['inspection', 'repair', 'oil']",Conditional Sentences,Easy,Reading,Store the oil.,What happens if the it is damaged?,Store the oil.,"['Do nothing with the oil.', 'Ignore the oil.']"
136,Please clean the stored.,Healthcare,Advanced,"['medication', 'stored', 'patient']",Imperative Sentences,Difficult,Listening,Clean the stored.,What should you do with the stored?,Clean the stored.,"['Do nothing with the stored.', 'Use a different stored.']"
137,Please secure the inventory.,Retail,Intermediate,"['sales', 'inventory', 'checkout']",Imperative Sentences,Moderate,Speaking,Secure the inventory.,What should you do with the inventory?,Secure the inventory.,"['Do nothing with the inventory.', 'Ignore the inventory.']"
138,workstation must be inspect.,Hospitality,Intermediate,"['hygiene', 'workstation', 'clean']",Passive Voice,Moderate,Speaking,Inspect the workstation.,What must be done with the workstation?,Inspect the workstation.,"['Do nothing with the workstation.', 'Use a different workstation.']"
139,inspection must be check.,Automotive,Advanced,"['engine', 'inspection', 'brakes']",Passive Voice,Difficult,Listening,Check the inspection.,What must be done with the inspection?,Check the inspection.,"['Use a different inspection.', 'Ignore the inspection.']"
140,Please clean the workstation.,Hospitality,Beginner,"['hygiene', 'clean', 'workstation']",Imperative Sentences,Easy,Speaking,Clean the workstation.,What should you do with the workstation?,Clean the workstation.,"['Do nothing with the workstation.', 'Ignore the workstation.']"
141,Please clean the harvest.,Agriculture,Advanced,"['harvest', 'crop', 'irrigation']",Imperative Sentences,Difficult,Writing,Clean the harvest.,What should you do with the harvest?,Clean the harvest.,"['Ignore the harvest.', 'Use a different harvest.']"
142,You should clean the engine.,Automotive,Advanced,"['engine', 'oil', 'inspection']",Modal Verbs,Difficult,Reading,Clean the engine.,What is recommended to do with the engine?,Clean the engine.,"['Use a different engine.', 'Ignore the engine.']"
143,"If it is damaged, inspect the system.",IT,Advanced,"['system', 'network', 'reboot']",Conditional Sentences,Difficult,Reading,Inspect the system.,What happens if the it is damaged?,Inspect the system.,"['Ignore the system.', 'Use a different system.']"
144,the supervisor said to secure the reboot.,IT,Beginner,"['network', 'reboot', 'software']",Reported Speech,Easy,Reading,Secure the reboot.,What did the supervisor say?,Secure the reboot.,"['Ignore the reboot.', 'Use a different reboot.']"
145,You should clean the crop.,Agriculture,Advanced,"['soil', 'irrigation', 'crop']",Modal Verbs,Difficult,Writing,Clean the crop.,What is recommended to do with the crop?,Clean the crop.,"['Ignore the crop.', 'Do nothing with the crop.']"
146,Please check the oil.,Automotive,Intermediate,"['oil', 'brakes', 'inspection']",Imperative Sentences,Moderate,Reading,Check the oil.,What should you do with the oil?,Check the oil.,"['Use a different oil.', 'Ignore the oil.']"
147,the supervisor said to clean the system.,IT,Intermediate,"['network', 'system', 'hardware']",Reported Speech,Moderate,Listening,Clean the system.,What did the supervisor say?,Clean the system.,"['Use a different system.', 'Ignore the system.']"
148,Please secure the hygiene.,Hospitality,Advanced,"['shift', 'hygiene', 'workstation']",Imperative Sentences,Difficult,Speaking,Secure the hygiene.,What should you do with the hygiene?,Secure the hygiene.,"['Ignore the hygiene.', 'Use a different hygiene.']"
149,Please check the engine.,Automotive,Advanced,"['engine', 'brakes', 'repair']",Imperative Sentences,Difficult,Listening,Check the engine.,What should you do with the engine?,Check the engine.,"['Use a different engine.', 'Do nothing with the engine.']"
150,You should inspect the system.,IT,Beginner,"['system', 'software', 'network']",Modal Verbs,Easy,Reading,Inspect the system.,What is recommended to do with the system?,Inspect the system.,"['Use a different system.', 'Do nothing with the system.']"
151,yield must be clean.,Agriculture,Advanced,"['irrigation', 'yield', 'soil']",Passive Voice,Difficult,Writing,Clean the yield.,What must be done with the yield?,Clean the yield.,"['Do nothing with the yield.', 'Ignore the yield.']"
152,Please secure the clean.,Hospitality,Intermediate,"['clean', 'workstation', 'shift']",Imperative Sentences,Moderate,Speaking,Secure the clean.,What should you do with the clean?,Secure the clean.,"['Ignore the clean.', 'Use a different clean.']"
153,"If it is damaged, secure the sales.",Retail,Beginner,"['checkout', 'customer', 'sales']",Conditional Sentences,Easy,Writing,Secure the sales.,What happens if the it is damaged?,Secure the sales.,"['Ignore the sales.', 'Use a different sales.']"
154,You should store the shift.,Hospitality,Beginner,"['service', 'shift', 'clean']",Modal Verbs,Easy,Writing,Store the shift.,What is recommended to do with the shift?,Store the shift.,"['Ignore the shift.', 'Do nothing with the shift.']"
155,You should check the medication.,Healthcare,Intermediate,"['medication', 'temperature', 'stored']",Modal Verbs,Moderate,Listening,Check the medication.,What is recommended to do with the medication?,Check the medication.,"['Do nothing with the medication.', 'Ignore the medication.']"
156,Please check the harness.,Construction,Beginner,"['secured', 'tools', 'harness']",Imperative Sentences,Easy,Speaking,Check the harness.,What should you do with the harness?,Check the harness.,"['Ignore the harness.', 'Do nothing with the harness.']"
157,secured must be inspect.,Construction,Beginner,"['equipment', 'secured', 'tools']",Passive Voice,Easy,Speaking,Inspect the secured.,What must be done with the secured?,Inspect the secured.,"['Use a different secured.', 'Do nothing with the secured.']"
158,the supervisor said to check the service.,Hospitality,Beginner,"['clean', 'hygiene', 'service']",Reported Speech,Easy,Speaking,Check the service.,What did the supervisor say?,Check the service.,"['Ignore the service.', 'Do nothing with the service.']"
159,"If it is damaged, clean the oil.",Automotive,Beginner,"['engine', 'oil', 'brakes']",Conditional Sentences,Easy,Listening,Clean the oil.,What happens if the it is damaged?,Clean the oil.,"['Use a different oil.', 'Do nothing with the oil.']"
160,"If it is damaged, check the yield.",Agriculture,Beginner,"['yield', 'soil', 'crop']",Conditional Sentences,Easy,Reading,Check the yield.,What happens if the it is damaged?,Check the yield.,"['Ignore the yield.', 'Do nothing with the yield.']"
161,"If it is damaged, check the service.",Hospitality,Advanced,"['service', 'clean', 'shift']",Conditional Sentences,Difficult,Speaking,Check the service.,What happens if the it is damaged?,Check the service.,"['Ignore the service.', 'Do nothing with the service.']"
162,You should secure the service.,Hospitality,Advanced,"['shift', 'hygiene', 'service']",Modal Verbs,Difficult,Writing,Secure the service.,What is recommended to do with the service?,Secure the service.,"['Use a different service.', 'Do nothing with the service.']"
163,software must be check.,IT,Intermediate,"['software', 'reboot', 'network']",Passive Voice,Moderate,Listening,Check the software.,What must be done with the software?,Check the software.,"['Use a different software.', 'Do nothing with the software.']"
164,the supervisor said to clean the sales.,Retail,Beginner,"['sales', 'product', 'customer']",Reported Speech,Easy,Speaking,Clean the sales.,What did the supervisor say?,Clean the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
165,the supervisor said to secure the hardware.,IT,Intermediate,"['reboot', 'hardware', 'software']",Reported Speech,Moderate,Reading,Secure the hardware.,What did the supervisor say?,Secure the hardware.,"['Use a different hardware.', 'Do nothing with the hardware.']"
166,"If it is damaged, inspect the shift.",Hospitality,Intermediate,"['service', 'workstation', 'shift']",Conditional Sentences,Moderate,Speaking,Inspect the shift.,What happens if the it is damaged?,Inspect the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
167,Please inspect the harvest.,Agriculture,Intermediate,"['harvest', 'soil', 'crop']",Imperative Sentences,Moderate,Writing,Inspect the harvest.,What should you do with the harvest?,Inspect the harvest.,"['Use a different harvest.', 'Ignore the harvest.']"
168,"If it is damaged, secure the service.",Hospitality,Intermediate,"['service', 'shift', 'workstation']",Conditional Sentences,Moderate,Writing,Secure the service.,What happens if the it is damaged?,Secure the service.,"['Use a different service.', 'Do nothing with the service.']"
169,inventory must be store.,Retail,Beginner,"['inventory', 'product', 'sales']",Passive Voice,Easy,Speaking,Store the inventory.,What must be done with the inventory?,Store the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
170,You should store the yield.,Agriculture,Intermediate,"['soil', 'harvest', 'yield']",Modal Verbs,Moderate,Writing,Store the yield.,What is recommended to do with the yield?,Store the yield.,"['Ignore the yield.', 'Do nothing with the yield.']"
171,You should check the sales.,Retail,Intermediate,"['customer', 'sales', 'inventory']",Modal Verbs,Moderate,Writing,Check the sales.,What is recommended to do with the sales?,Check the sales.,"['Do nothing with the sales.', 'Use a different sales.']"
172,inventory must be clean.,Retail,Intermediate,"['inventory', 'sales', 'checkout']",Passive Voice,Moderate,Writing,Clean the inventory.,What must be done with the inventory?,Clean the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
173,You should secure the clean.,Hospitality,Advanced,"['hygiene', 'shift', 'clean']",Modal Verbs,Difficult,Speaking,Secure the clean.,What is recommended to do with the clean?,Secure the clean.,"['Do nothing with the clean.', 'Ignore the clean.']"
174,You should check the equipment.,Construction,Beginner,"['equipment', 'safety', 'tools']",Modal Verbs,Easy,Speaking,Check the equipment.,What is recommended to do with the equipment?,Check the equipment.,"['Ignore the equipment.', 'Do nothing with the equipment.']"
175,You should inspect the workstation.,Hospitality,Beginner,"['service', 'workstation', 'clean']",Modal Verbs,Easy,Speaking,Inspect the workstation.,What is recommended to do with the workstation?,Inspect the workstation.,"['Ignore the workstation.', 'Use a different workstation.']"
